1white_m_1,1white_m_2,POLO NS.5000 WHITE,เสื้อโปโลชาย รหัส NS.5000 สีขาว,380 ฿,#,NS.5000 POLO PRODUCT,สินค้าเสื้อโปโลชายรหัส NS.5000,9blue_topaz_m_1,POLO SHIRT NO.5000,ชนิดผ้า 20 ค้อม จุติเก้ลาคอส,S,S,"*เสื้อขนาด 3XL และ 4XL ผลิตเฉพาะเสื้อีขาว,สีดำและสีท็อปดราย เท่านั้น"
2yellow_topaz_m_1,2yellow_topaz_m_2,POLO NS.5000 YELLOW TOPAZ,เสื้อโปโลชาย รหัส NS.5000 สีเหลืองบุษราคัม,380 ฿,#,break,break,6amethyst_m_1,break,100% Cotton,81,"36""",*ราคาดังกล่าว เป็นราคาปลีกต่อคัวเท่านั้น<br> หากลูกค้าต้องการราคาพิเศษ โปรดติดต่อเจ้าหน้าที่ได้โดยตรง
3orange_songea_m_1,3orange_songea_m_2,POLO NS.5000 ORANGE SONGEA,เสื้อโปโลชาย รหัส NS.5000 สีส้มซองเจีย,380 ฿,#,,,12black_m_1,,break,71,"28""",break
4pink_diamond_m_1,4pink_diamond_m_2,POLO NS.5000 PINK DIAMOND,เสื้อโปโลชาย รหัส NS.5000 สีบานเย็นไดมอนด์,380 ฿,#,,,9blue_topaz_m_1,,,380.-,380.-,
5red_garnet_m_1,5red_garnet_m_2,POLO NS.5000 RED GARNET,เสื้อโปโลชาย รหัส NS.5000 สีแดงโกเมน,380 ฿,#,,,4pink_diamond_m_1,,,newrow,newrow,
6amethyst_m_1,6amethyst_m_2,POLO NS.5000 AMETHYST,เสื้อโปโลชาย รหัส NS.5000 สีม่วงอาเมทิส,380 ฿,#,,,break,,,M,M,
7blue_sapphire_m_1,7blue_sapphire_m_2,POLO NS.5000 BLUE SAPPHIRE,เสื้อโปโลชาย รหัส NS.5000 สีน้ำเงินซัฟไฟร์,380 ฿,#,,,,,,91,"40""",
8green_peridot_m_1,8green_peridot_m_2,POLO NS.5000 GREEN PERIDOT,เสื้อโปโลชาย รหัส NS.5000 สีเขียวดำริโดต์,380 ฿,#,,,,,,73.5,"29""",
9blue_topaz_m_1,9blue_topaz_m_2,POLO NS.5000 BLUE TOPAZ,เสื้อโปโลชาย รหัส NS.5000 สีฟ้าโทปาส,380 ฿,#,,,,,,380.-,380.-,
10gray_melange_m_1,10gray_melange_m_2,POLO NS.5000 GRAY MELANGE,เสื้อโปโลชาย รหัส NS.5000 สีท็อปดราย,380 ฿,#,,,,,,newrow,newrow,
11dark_navy_blue__m_1,11dark_navy_blue__m_2,POLO NS.5000 DARK NAVY BLUE,เสื้อโปโลชาย รหัส NS.5000 สีกรมเข้ม,380 ฿,#,,,,,,L,L,
12black_m_1,12black_m_2,POLO NS.5000 BLACK,เสื้อโปโลชาย รหัส NS.5000 สีดำ,380 ฿,#,,,,,,101,"44""",
break,break,break,break,break,break,,,,,,76,"30""",
,,,,,,,,,,,380.-,380.-,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,XL,XL,
,,,,,,,,,,,111,"48""",
,,,,,,,,,,,78,"31""",
,,,,,,,,,,,480.-,480.-,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,2XL,2XL,
,,,,,,,,,,,121,"52""",
,,,,,,,,,,,81,"32""",
,,,,,,,,,,,480.-,480.-,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,3XL,3XL,
,,,,,,,,,,,142,"56""",
,,,,,,,,,,,84,"33""",
,,,,,,,,,,,580.-,580.-,
,,,,,,,,,,,break,break,
