1white_1,1white_2,t-shirt ov white,เสื้อยืดแฟชั่นคอวี รหัส OV สีขาว,199 ฿,#,OV t-shirt product,สินค้าเสื้อยืดคอวีรหัส OV,5pink_1,t-shirt ov,ชนิดผ้า 20 ค้อม จุติปิเก้ลาคอส,XS,XS,*ราคาดังกล่าว เป็นราคาปลีกต่อคัวเท่านั้น<br> หากลูกค้าต้องการราคาพิเศษ โปรดติดต่อเจ้าหน้าที่ได้โดยตรง
2orange_1,2orange_2,t-shirt ov orange,เสื้อยืดแฟชั่นคอวี รหัส OV สีส้ม,200 ฿,#,break,break,3caramel_1,break,100% Cotton,32.8,"32""",break
3caramel_1,3caramel_2,t-shirt ov caramel,เสื้อยืดแฟชั่นคอวี รหัส OV สีคาราเมล,201 ฿,#,,,6blue_1,,break,24.4,"24""",
4red_1,4red_2,t-shirt ov red,เสื้อยืดแฟชั่นคอวี รหัส OV สีแดง,202 ฿,#,,,1white_1,,,XS,XS,
5pink_1,5pink_2,t-shirt ov pink,เสื้อยืดแฟชั่นคอวี รหัส OV สีชมพู,203 ฿,#,,,8black_1,,,newrow,newrow,
6blue_1,6blue_2,t-shirt ov blue,เสื้อยืดแฟชั่นคอวี รหัส OV สีฟ้า,204 ฿,#,,,7gray_1,,,S,S,
7gray_1,7gray_2,t-shirt ov gray,เสื้อยืดแฟชั่นคอวี รหัส OV สีเทา,205 ฿,#,,,break,,,36.7,"36""",
8black_1,8black_2,t-shirt ov black,เสื้อยืดแฟชั่นคอวี รหัส OV สีดำ,206 ฿,#,,,,,,26.1,"26""",
break,break,break,break,break,break,,,,,,S,S,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,M,M,
,,,,,,,,,,,40.4,"40""",
,,,,,,,,,,,28.6,"28""",
,,,,,,,,,,,M,M,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,L,L,
,,,,,,,,,,,44.8,"44""",
,,,,,,,,,,,30.7,"30""",
,,,,,,,,,,,L,L,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,XL,XL,
,,,,,,,,,,,48.6,"48""",
,,,,,,,,,,,32.1,"32""",
,,,,,,,,,,,XL,XL,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,2XL,2XL,
,,,,,,,,,,,52.4,"52""",
,,,,,,,,,,,34.6,"34""",
,,,,,,,,,,,2XL,2XL,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,3XL,3XL,
,,,,,,,,,,,56.7,"56""",
,,,,,,,,,,,56.5,"56""",
,,,,,,,,,,,3XL,3XL,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,4XL,4XL,
,,,,,,,,,,,60.7,"60""",
,,,,,,,,,,,38.8,"38""",
,,,,,,,,,,,4XL,4XL,
,,,,,,,,,,,break,break,
